Machine_ID,Department,Operating_Hours,Temperature,Vibration,Pressure,Humidity,Downtime_Hours,Maintenance_Cost,Failure_Count
M001,Production,1200,72,3.2,40,55,8,1500,1
M002,Production,1500,75,4.1,38,58,12,2200,2
M003,Production,1800,80,5.5,36,60,18,3500,4
M004,Production,2100,85,6.2,35,62,25,4200,5
M005,Production,2300,88,6.8,34,65,30,5000,6
M006,Packaging,1100,70,2.8,42,54,5,1200,1
M007,Packaging,1400,74,3.6,40,56,10,1800,2
M008,Packaging,1700,78,4.8,38,59,15,2800,3
M009,Packaging,2000,82,5.9,36,61,22,3900,5
M010,Packaging,2200,86,6.5,35,63,28,4700,6
M011,Assembly,1000,68,2.5,43,53,4,1000,1
M012,Assembly,1300,72,3.3,41,55,8,1600,2
M013,Assembly,1600,76,4.4,39,58,13,2500,3
M014,Assembly,1900,81,5.4,37,60,20,3600,4
M015,Assembly,2100,84,6.1,36,62,24,4300,5
M016,Quality,900,66,2.1,44,52,3,900,0
M017,Quality,1200,70,2.9,42,54,6,1300,1
M018,Quality,1500,74,3.8,40,57,10,2100,2
M019,Quality,1800,79,4.9,38,59,16,3100,3
M020,Quality,2000,83,5.8,37,61,22,4000,4
M021,Production,1250,73,3.4,40,55,7,1600,1
M022,Production,1550,77,4.3,38,58,13,2400,2
M023,Production,1850,82,5.6,36,60,19,3600,4
M024,Production,2150,86,6.3,35,63,26,4400,5
M025,Production,2400,90,7.0,33,66,34,5400,7
M026,Packaging,1150,71,3.0,41,54,6,1300,1
M027,Packaging,1450,75,3.9,39,57,11,2000,2
M028,Packaging,1750,79,5.0,37,59,17,3000,3
M029,Packaging,2050,83,6.0,36,62,23,4100,5
M030,Packaging,2250,87,6.7,34,64,29,4900,6
M031,Assembly,1050,69,2.6,43,53,4,1100,1
M032,Assembly,1350,73,3.5,41,56,9,1700,2
M033,Assembly,1650,77,4.6,39,58,14,2600,3
M034,Assembly,1950,82,5.5,37,61,21,3700,4
M035,Assembly,2150,85,6.2,36,63,25,4500,5
M036,Quality,950,67,2.2,44,52,3,950,0
M037,Quality,1250,71,3.0,42,55,7,1400,1
M038,Quality,1550,75,4.0,40,57,11,2200,2
M039,Quality,1850,80,5.1,38,60,17,3200,3
M040,Quality,2050,84,5.9,37,62,23,4100,4
M041,Production,2500,92,7.2,32,67,36,5800,8
M042,Production,2600,94,7.5,31,68,40,6200,9
M043,Packaging,2350,89,6.9,33,65,31,5200,7
M044,Assembly,2250,87,6.5,35,64,27,4700,6
M045,Quality,2100,85,6.1,36,63,24,4300,5
M046,Production,2700,95,7.8,30,69,42,6500,10
M047,Packaging,2450,90,7.1,32,66,33,5500,8
M048,Assembly,2350,88,6.8,34,65,29,5000,7
M049,Quality,2200,86,6.3,35,64,26,4600,6
M050,Production,2800,97,8.0,29,70,45,7000,11
